Date,QBTS,SOFI,SPY
2021-06-01,9.8100004196167,22.649999618530273,390.95745849609375
2021-06-02,9.880000114440918,23.209999084472656,391.5722351074219
2021-06-03,9.880000114440918,22.68000030517578,390.1189880371094
2021-06-04,9.869999885559082,20.81999969482422,393.68707275390625
2021-06-07,9.869999885559082,21.209999084472656,393.30499267578125
2021-06-08,9.899999618530273,23.889999389648438,393.3889465332031
2021-06-09,9.930000305175781,22.709999084472656,392.8020324707031
2021-06-10,9.90999984741211,23.020000457763672,394.6278381347656
2021-06-11,9.90999984741211,22.399999618530273,395.28009033203125
2021-06-14,9.90999984741211,21.81999969482422,396.16497802734375
2021-06-15,9.90999984741211,20.799999237060547,395.4383239746094
2021-06-16,9.90999984741211,21.829999923706055,393.23052978515625
2021-06-17,9.90999984741211,22.700000762939453,393.1000671386719
2021-06-18,9.90999984741211,23.040000915527344,387.7970275878906
2021-06-21,9.90999984741211,22.510000228881836,393.3486022949219
2021-06-22,9.90999984741211,21.200000762939453,395.45159912109375
2021-06-23,9.90999984741211,21.399999618530273,394.9750061035156
2021-06-24,9.890000343322754,20.8700008392334,397.3115234375
2021-06-25,9.890000343322754,18.5,398.7228088378906
2021-06-28,9.890000343322754,19.260000228881836,399.52655029296875
2021-06-29,9.880000114440918,18.8700008392334,399.7415771484375
2021-06-30,9.880000114440918,19.170000076293945,400.0780029296875
2021-07-01,9.880000114440918,18.25,402.2931823730469
2021-07-02,9.880000114440918,18.079999923706055,405.3680419921875
2021-07-06,9.880000114440918,17.350000381469727,404.6297302246094
2021-07-07,9.880000114440918,16.940000534057617,406.05963134765625
2021-07-08,9.880000114440918,16.6200008392334,402.7511291503906
2021-07-09,9.880000114440918,16.450000762939453,407.05035400390625
2021-07-12,9.869999885559082,16.420000076293945,408.50848388671875
2021-07-13,9.869999885559082,16.0,407.1158142089844
2021-07-14,9.869999885559082,15.520000457763672,407.7232971191406
2021-07-15,9.859999656677246,15.989999771118164,406.3307189941406
2021-07-16,9.84000015258789,15.300000190734863,403.1436767578125
2021-07-19,9.859999656677246,15.170000076293945,397.1900329589844
2021-07-20,9.859999656677246,15.0600004196167,402.88189697265625
2021-07-21,9.869999885559082,16.559999465942383,406.1438293457031
2021-07-22,9.850000381469727,16.049999237060547,406.9943542480469
2021-07-23,9.850000381469727,15.699999809265137,411.1815185546875
2021-07-26,9.760000228881836,15.510000228881836,412.19085693359375
2021-07-27,9.84000015258789,14.920000076293945,410.312255859375
2021-07-28,9.800000190734863,15.369999885559082,410.1440124511719
2021-07-29,9.760000228881836,15.600000381469727,411.84503173828125
2021-07-30,9.75,15.4399995803833,409.8450012207031
2021-08-02,9.760000228881836,15.729999542236328,408.9851379394531
2021-08-03,9.75,15.109999656677246,412.3123474121094
2021-08-04,9.760000228881836,16.389999389648438,410.2841796875
2021-08-05,9.760000228881836,16.059999465942383,412.88250732421875
2021-08-06,9.760000228881836,16.709999084472656,413.5647277832031
2021-08-09,9.729999542236328,16.90999984741211,413.2283020019531
2021-08-10,9.729999542236328,16.989999771118164,413.74224853515625
2021-08-11,9.760000228881836,16.899999618530273,414.77044677734375
2021-08-12,9.739999771118164,17.459999084472656,416.01348876953125
2021-08-13,9.720000267028809,14.989999771118164,416.7705383300781
2021-08-16,9.6899995803833,14.289999961853027,417.75189208984375
2021-08-17,9.710000038146973,13.75,415.0134582519531
2021-08-18,9.670000076293945,14.220000267028809,410.47113037109375
2021-08-19,9.720000267028809,13.819999694824219,411.10662841796875
2021-08-20,9.699999809265137,14.039999961853027,414.3778381347656
2021-08-23,9.699999809265137,14.430000305175781,418.0229797363281
2021-08-24,9.699999809265137,14.760000228881836,418.6865539550781
2021-08-25,9.699999809265137,14.850000381469727,419.56500244140625
2021-08-26,9.720000267028809,14.359999656677246,417.0882873535156
2021-08-27,9.729999542236328,14.039999961853027,420.8175048828125
2021-08-30,9.729999542236328,14.1899995803833,422.6680908203125
2021-08-31,9.770000457763672,14.180000305175781,422.04193115234375
2021-09-01,9.789999961853027,14.569999694824219,422.26611328125
2021-09-02,9.770000457763672,15.0600004196167,423.56536865234375
2021-09-03,9.770000457763672,15.15999984741211,423.4624938964844
2021-09-07,9.739999771118164,15.84000015258789,421.9483642578125
2021-09-08,9.75,15.470000267028809,421.434326171875
2021-09-09,9.760000228881836,15.6899995803833,419.6304626464844
2021-09-10,9.75,15.289999961853027,416.32196044921875
2021-09-13,9.770000457763672,15.010000228881836,417.3873596191406
2021-09-14,9.760000228881836,14.5,415.13494873046875
2021-09-15,9.760000228881836,15.449999809265137,418.6024169921875
2021-09-16,9.770000457763672,15.5,417.9388427734375
2021-09-17,9.770000457763672,15.09000015258789,413.86761474609375
2021-09-20,9.75,14.569999694824219,406.966796875
2021-09-21,9.760000228881836,15.170000076293945,406.5823974609375
2021-09-22,9.789999961853027,16.84000015258789,410.5484924316406
2021-09-23,9.75,17.139999389648438,415.5365905761719
2021-09-24,9.779999732971191,17.639999389648438,416.2210998535156
2021-09-27,9.770000457763672,17.700000762939453,415.03033447265625
2021-09-28,9.760000228881836,17.040000915527344,406.666748046875
2021-09-29,9.760000228881836,16.010000228881836,407.3511962890625
2021-09-30,9.770000457763672,15.880000114440918,402.3724670410156
2021-10-01,9.789999961853027,16.450000762939453,407.1542663574219
2021-10-04,9.800000190734863,16.09000015258789,401.90362548828125
2021-10-05,9.8100004196167,16.25,406.0854187011719
2021-10-06,9.78499984741211,16.6200008392334,407.7731018066406
